Fighter_dims,weight_class,avg_KD,avg_opp_KD,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),Stance_Open Stance,Stance_Orthodox,Stance_Sideways,Stance_Southpaw,Stance_Switch,x,y,cluster,specific_cluster
Aaron Phillips,Bantamweight,0.0,0.0,0.032045244133155,0.024999999999999,0.1184722222222177,0.1077777777777748,0.0624305555555555,0.0377248677248676,0.1630363036303629,0.1369444444444443,0.1916666666666666,0.1712996031746031,0.2656067251461989,0.3089788732394367,0.0061111111111094,0.0,0.3628682716612085,0.2316841973974132,0.0404347826086956,0.016361111111111,0.1421146953405016,0.1124999999999999,0.15,0.133333333333333,0.052083333333333,0.033333333333333,0.0357575757575754,0.0245833333333323,0.0208333333333327,0.0238194444444439,0.0742230273752012,0.0512499999999995,0.0688461538461538,0.0446710526315786,0.0682843010592143,0.0571636587010593,0.0511111111111108,0.0366666666666664,0.0131038647342994,0.0107638888888888,0.1290983606557375,0.1247093023255814,0.0586117467581997,0.7393299406276505,0.0,0.0,0.0,1.0,0.0,9.246127,7.2341647,0,0_Bantamweight
Adrian Yanez,Bantamweight,0.086927750431606,0.0,0.0,0.0,0.0,0.0,0.3141710186900165,0.1474157633445877,0.3189483781237786,0.1983303520854369,0.2452490895094868,0.1127981555882155,0.2932679232508309,0.2088935825836618,0.0,0.0,0.267754263926054,0.0,0.2771573941217629,0.1171651136232438,0.2822553462561006,0.1474164641796057,0.255382033277945,0.131986478175293,0.0861025719463395,0.0532030189250527,0.1293501745178569,0.1633304020181877,0.057180971056716,0.0817400199318049,0.6120456850692911,0.4295646173482623,0.3740381586583766,0.2680222869513722,0.0137928398582722,0.0159875529480697,0.00884083482663,0.0,0.0071179194882841,0.0036945392246198,0.0,0.0,0.013684415674251,0.1135197796474783,0.0,1.0,0.0,0.0,0.0,12.826781,10.9212675,1,1_Bantamweight
Aiemann Zahabi,Bantamweight,0.0203395155238976,0.0071944747857925,0.0,0.0,0.0409125799485401,0.0,0.1524947913912799,0.0704877993117837,0.3748463988541081,0.1888512683876293,0.1191803539154851,0.0541057058405992,0.3431068791053545,0.2007339261700083,0.0356499324901522,0.0082625694094366,0.3480025333099846,0.0792141713635064,0.1408767944257871,0.0599040908628619,0.306302425145224,0.1008269200921584,0.108086704983866,0.066382129532914,0.0890796946559366,0.049579531450815,0.0292888928604692,0.0363408438512343,0.182354485525014,0.24283428687401,0.2875637507570577,0.1937278848040123,0.4302858216485155,0.2361941849919795,0.0266520637795246,0.0199574946029538,0.0174805302125508,0.0107388221048324,0.0044596658321085,0.0033753897223752,0.0070711701030106,0.0103496454257797,0.0497488511162342,0.0936183744359749,0.0,1.0,0.0,0.0,0.0,11.108876,10.119686,1,1_Bantamweight
Alatengheili,Bantamweight,0.0,0.0,0.0,0.0,0.0,0.0,0.2454166666666666,0.0754497354497354,0.5641914191419141,0.3431481481481481,0.19,0.0565873015873015,0.4998538011695906,0.3326291079812207,0.0,0.0,0.0439840329286312,0.0,0.2096618357487921,0.0447777777777776,0.4473118279569891,0.1899999999999999,0.222222222222222,0.122222222222222,0.2416666666666665,0.1708333333333331,0.1311111111111109,0.1475,0.108333333333333,0.1497222222222221,0.4928985507246377,0.2299999999999999,0.6655128205128206,0.4637280701754385,0.0,0.0,0.0088888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.785881,9.779035,1,1_Bantamweight
Albert Morales,Bantamweight,0.0,0.0094542276284575,0.0,0.008764668502431,0.0,0.0,0.2634106901209294,0.102147246832872,0.3224408430294223,0.1963263612744369,0.2272602500942523,0.0940388700782883,0.3424988560318501,0.2732151628100516,0.039148340901494,0.0149018555816437,0.1012821548106332,0.0403657602656434,0.2112610219066072,0.0566148173450881,0.2899211345483276,0.1492092474934241,0.100416051015082,0.063241243748782,0.0488098276846961,0.029622585070791,0.3984881803713271,0.3886139586860646,0.1179134074374225,0.1427845921120375,0.496909973913099,0.2872606122897335,0.3323338902182025,0.2117481757619946,0.0584556581384173,0.0212473008527266,0.0252460840579144,0.0113476106464972,0.0051539857036666,0.0041483965839102,0.04920325341667,0.0505767654136389,0.1009802552054322,0.1928580848657979,0.0,1.0,0.0,0.0,0.0,12.412149,10.349052,1,1_Bantamweight
Alejandro Perez,Bantamweight,0.0,0.0158078572696225,0.0111479973195284,0.035859286147563,0.0,0.0374940622321003,0.2125915013390776,0.0874499169037389,0.2549079708613471,0.1314948842913867,0.18927453181652,0.0900584221427527,0.2360690612094842,0.1403717499033299,0.0602599584666596,0.0197319971278916,0.1803541116978734,0.0633194847878117,0.1750717869768512,0.057456309416294,0.2107910448356408,0.0756227067392222,0.080065115042054,0.0570711668802129,0.0667792099763291,0.0430587893885977,0.2862946711281812,0.2428523025009229,0.1026776526350895,0.1190705685424958,0.3684923686550506,0.2035280866188046,0.2838444919067575,0.1605476299804773,0.0463394026626719,0.0232169115814475,0.0146499216406692,0.0048996163603244,0.021236589083759,0.0171716916416907,0.0145014112151269,0.0147614539859665,0.0683039851283431,0.1094556420176638,0.0,1.0,0.0,0.0,0.0,11.047501,11.027697,1,1_Bantamweight
Alex Caceres,Bantamweight,0.0026498542623124,0.00628588852412,0.065034956683684,0.029589404160924,0.1736235066883303,0.0923376946280255,0.1470550428900399,0.088517657046045,0.1558228704150201,0.0897086483464728,0.1361251541267685,0.08866220716673,0.2060166434789486,0.1757303777790817,0.0054065728197646,0.0076183526096683,0.3615337582944815,0.1592052295035035,0.1155562871787997,0.0587121270666428,0.1302428720280914,0.0576627091662954,0.18729653290592,0.142461438645746,0.0428712653308068,0.0261024530685791,0.100665824998078,0.1156199194605173,0.0537006544654837,0.067133903829232,0.2579882248183531,0.2225496402928876,0.1545439984280611,0.0875093734739646,0.0401272700003019,0.0386653013219801,0.015414398198652,0.012350256718216,0.0114896654060651,0.008715669125852,0.02946993828579,0.0259378568652055,0.1834304372033909,0.3420475152547088,0.0,0.0,0.0,1.0,0.0,9.608757,6.99255,0,0_Bantamweight
Alex Perez,Bantamweight,0.0180109536950355,0.0,0.0411716198712902,0.0,0.0,0.0,0.2646026647632643,0.1459331769824274,0.3975766955710559,0.2497620747085415,0.2301927194860813,0.1347379422861221,0.390087907134002,0.302877220496426,0.1805852962169873,0.121698786581012,0.1695316044358363,0.0566984881975893,0.2169413152096329,0.1006780870806566,0.3374893509244548,0.1723768736616702,0.292648108493932,0.206995003568879,0.127141327623126,0.0896680942184152,0.1569658036467454,0.1947715917201991,0.0829764453961455,0.0830656673804421,0.4332929894795643,0.3163811563169163,0.3824786324786324,0.2241068409782483,0.2193285901259554,0.1920834520674702,0.0299785867237684,0.0199857244825124,0.0076963659497873,0.0066381156316915,0.0984133113349947,0.1116727254618789,0.2414163142704541,0.1303267567876816,0.0,1.0,0.0,0.0,0.0,12.829739,10.873153,1,1_Bantamweight
Ali AlQaisi,Bantamweight,0.0,0.0,0.0427269921775413,0.0,0.0,0.0,0.1506944444444443,0.072169312169312,0.1566006600660065,0.1133333333333333,0.1311111111111111,0.0664285714285714,0.1558479532163742,0.1373239436619718,0.2200000000000002,0.0688888888888882,0.219920164643156,0.0882606466275856,0.1287922705314009,0.0482222222222222,0.1421146953405016,0.0999999999999999,0.1,0.077777777777777,0.0416666666666666,0.0208333333333331,0.1191919191919191,0.1475,0.0166666666666665,0.0136111111111109,0.2767149758454104,0.18,0.1580911680911679,0.1191228070175438,0.0682843010592143,0.0703552722474572,0.0355555555555552,0.022222222222222,0.0,0.0,0.0103278688524589,0.0151162790697672,0.1321637426900584,0.0704664970313824,0.0,1.0,0.0,0.0,0.0,9.991462,11.531294,1,1_Bantamweight
Aljamain Sterling,Bantamweight,0.0,0.00855666117853,0.0455899748460873,0.004651581103338,0.0218629427459193,0.006284545771035,0.1989645663087292,0.1152474746963636,0.1854017401952169,0.0990303914781016,0.1982350709865351,0.132224941988977,0.2092989960127166,0.1608486406185305,0.177546486736903,0.0648722694946677,0.1217942344918774,0.0723998461407151,0.1331427928692844,0.0613040781204388,0.1412017446453132,0.0512350114340705,0.368750442533865,0.251210502212547,0.065567893853049,0.0357809032168612,0.1971530793554107,0.1976323234838851,0.0840108856670842,0.1020668963499424,0.3038942089515516,0.2279407699230624,0.1904714669386955,0.101815018458705,0.1295578000237165,0.112365955817884,0.0387842091758028,0.0244981650487752,0.0241533313595313,0.0204921240409337,0.0103293195946077,0.0101422569439257,0.3240505068563101,0.1974347488021969,0.0,1.0,0.0,0.0,0.0,10.831773,12.288206,1,1_Bantamweight
Anderson Dos Santos,Bantamweight,0.0,0.0,0.0377270250078266,0.0,0.0,0.0,0.2162243892828999,0.0688598071222184,0.3662459331039485,0.2408556606251639,0.1834475965327029,0.0683261567038162,0.3689965161129775,0.2915401391802351,0.1175413711583915,0.0290701339637481,0.1492649628109939,0.0389661365430273,0.2012976667694521,0.0499688731284474,0.3488014438597828,0.2000945626477539,0.077817178881008,0.064302600472813,0.0443853427895977,0.0328605200945625,0.1101468586574964,0.1176861702127657,0.0863179669030732,0.1169493695823477,0.4048612395929693,0.1752836879432623,0.3753625406639589,0.2521402575587904,0.0394423898159209,0.0379531765625687,0.0319936958234828,0.029204097714736,0.0074932332887928,0.0044948778565799,0.0561806766655037,0.0537646379680024,0.1433954193738019,0.2047655483971871,0.0,1.0,0.0,0.0,0.0,12.053308,10.202901,1,1_Bantamweight
Andre Ewell,Bantamweight,0.0092565322998063,0.006874752615345,0.0035892468052537,0.036963994067106,0.0,0.006035857348423,0.1970553641486379,0.0937166429751764,0.2674750992583143,0.1814008381231228,0.1592852543723513,0.0767086908670949,0.3027141261957348,0.2741410517284332,0.0136087273482204,0.014265433983769,0.196553008566983,0.0774453013920746,0.1650975171494992,0.0671427614591519,0.1905951170471513,0.0997406088529422,0.253802791916912,0.16960929649039,0.0882577916142626,0.0546829295450126,0.0502787930850292,0.0472977564221917,0.1807782298370385,0.1983868029475348,0.3851917569068075,0.2789965647426987,0.2633364596060491,0.1707783228421175,0.0211123935200703,0.0088599672217697,0.0275984927729704,0.0217634749274812,0.0013281691290091,0.0005685977988266,0.0523275807778175,0.0634024711415745,0.0394815769665565,0.2773370806743594,0.0,0.0,0.0,1.0,0.0,10.606436,7.101911,0,0_Bantamweight
Andre Soukhamthath,Bantamweight,0.0285523315304687,0.0,0.0056946668491304,0.016448751413172,0.0,0.0360739603380621,0.1489161837507195,0.0742488494603469,0.2743949648997255,0.1815980718123965,0.135964471685742,0.076016581917201,0.3200056894016558,0.2761960013413443,0.0485994603580464,0.0394159356219515,0.1304887739659211,0.0409074276148834,0.1097432225657135,0.0383756604941514,0.2267310567522211,0.1153273641730067,0.226883942512644,0.164938922709758,0.0543965015166862,0.0422621794572832,0.1199219359752658,0.1334170656020668,0.1461263499249232,0.1761680813337515,0.2456558836710548,0.1525761094782051,0.2793739555681961,0.1823771337118717,0.084059746784311,0.070310224115022,0.0353981931081612,0.0245295014315692,0.0111674423343204,0.0116383427337577,0.0357383517623421,0.04684498741533,0.1671032346287898,0.2660865722090244,0.0,1.0,0.0,0.0,0.0,10.353843,10.4324665,1,1_Bantamweight
